station,feature,start,end,span_days,expected_rows,actual_rows,missing_rows,pct_missing,n_gaps,max_gap
recinto-esparza,luminous_intensity,2024-11-21 15:00:00,2026-03-01 00:00:00,464.375,66871,62519,4352,6.5080528181124855,254,3 days 08:10:00
recinto-esparza,precipitation,2024-10-27 00:10:00,2026-03-01 00:00:00,489.99305555555554,70560,70560,0,0.0,0,0 days 00:00:00
recinto-esparza,pressure,2024-11-21 15:00:00,2026-03-01 00:00:00,464.375,66871,62519,4352,6.5080528181124855,254,3 days 08:10:00
recinto-guapiles,luminous_intensity,2025-04-26 19:10:00,2026-03-01 00:00:00,308.2013888888889,44382,21726,22656,51.04772204947952,39,64 days 06:50:00
recinto-guapiles,precipitation,2025-04-25 00:10:00,2026-03-01 00:00:00,309.99305555555554,44640,40320,4320,9.67741935483871,1,30 days 00:10:00
recinto-guapiles,pressure,2025-11-19 10:50:00,2025-11-19 13:40:00,0.11805555555555555,18,18,0,0.0,0,0 days 00:00:00
recinto-santa-cruz,luminous_intensity,2024-12-12 17:00:00,2026-03-01 00:00:00,443.2916666666667,63835,33892,29943,46.90686927234276,58,42 days 21:00:00
recinto-santa-cruz,precipitation,2024-11-26 00:10:00,2026-03-01 00:00:00,459.99305555555554,66240,66240,0,0.0,0,0 days 00:00:00
recinto-santa-cruz,pressure,2024-12-12 17:00:00,2026-03-01 00:00:00,443.2916666666667,63835,33892,29943,46.90686927234276,58,42 days 21:00:00
sede-atlantico_turrialba,luminous_intensity,2024-10-03 11:40:00,2026-03-01 00:00:00,513.5138888888889,73947,71757,2190,2.961580591504726,64,3 days 18:40:00
sede-atlantico_turrialba,precipitation,2024-09-27 00:10:00,2026-03-01 00:00:00,519.9930555555555,74880,74880,0,0.0,0,0 days 00:00:00
sede-atlantico_turrialba,pressure,2024-10-03 11:40:00,2026-03-01 00:00:00,513.5138888888889,73947,71757,2190,2.961580591504726,64,3 days 18:40:00
sede-caribe_limon,luminous_intensity,2025-07-20 15:00:00,2026-03-01 00:00:00,223.375,32167,24659,7508,23.340690770043835,59,35 days 03:10:00
sede-caribe_limon,precipitation,2025-06-24 00:10:00,2026-03-01 00:00:00,249.99305555555554,36000,36000,0,0.0,0,0 days 00:00:00
sede-caribe_limon,pressure,2025-11-19 13:10:00,2026-03-01 00:00:00,101.45138888888889,14610,12861,1749,11.971252566735114,44,10 days 15:00:00
sede-central_finca-1,luminous_intensity,2025-11-08 17:40:00,2026-03-01 00:00:00,112.26388888888889,16167,15431,736,4.552483453949403,9,1 days 20:50:00
sede-central_finca-1,precipitation,2025-10-22 00:10:00,2026-03-01 00:00:00,129.99305555555554,18720,18720,0,0.0,0,0 days 00:00:00
sede-central_finca-1,pressure,2025-11-08 17:40:00,2026-03-01 00:00:00,112.26388888888889,16167,15431,736,4.552483453949403,9,1 days 20:50:00
sede-central_finca-2,luminous_intensity,2025-04-30 08:30:00,2026-03-01 00:00:00,304.6458333333333,43870,26681,17189,39.18167312514247,151,16 days 18:30:00
sede-central_finca-2,precipitation,2025-04-25 00:10:00,2026-03-01 00:00:00,309.99305555555554,44640,44640,0,0.0,0,0 days 00:00:00
sede-central_finca-2,pressure,2025-04-30 08:30:00,2026-03-01 00:00:00,304.6458333333333,43870,26681,17189,39.18167312514247,151,16 days 18:30:00
sede-central_finca-3,luminous_intensity,2024-12-12 16:10:00,2026-03-01 00:00:00,443.3263888888889,63840,31281,32559,51.00093984962406,589,106 days 03:50:00
sede-central_finca-3,precipitation,2024-11-26 00:10:00,2026-03-01 00:00:00,459.99305555555554,66240,57600,8640,13.043478260869565,1,60 days 00:10:00
sede-central_finca-3,pressure,2024-12-12 16:10:00,2026-03-01 00:00:00,443.3263888888889,63840,31281,32559,51.00093984962406,589,106 days 03:50:00
sede-guanacaste_liberia,luminous_intensity,2024-12-12 16:10:00,2026-02-10 00:00:00,424.3263888888889,61104,49130,11974,19.596098455092957,108,38 days 21:40:00
sede-guanacaste_liberia,precipitation,2024-11-26 00:10:00,2026-02-19 00:00:00,449.99305555555554,64800,64800,0,0.0,0,0 days 00:00:00
sede-guanacaste_liberia,pressure,2024-12-12 16:10:00,2026-02-10 00:00:00,424.3263888888889,61104,49130,11974,19.596098455092957,108,38 days 21:40:00
sede-sur_golfito,luminous_intensity,2024-12-12 16:10:00,2026-02-18 10:10:00,432.75,62317,56347,5970,9.580050387534701,115,20 days 21:00:00
sede-sur_golfito,precipitation,2024-11-26 00:10:00,2026-02-19 00:00:00,449.99305555555554,64800,64800,0,0.0,0,0 days 00:00:00
sede-sur_golfito,pressure,2024-12-12 16:10:00,2026-02-18 10:10:00,432.75,62317,56347,5970,9.580050387534701,115,20 days 21:00:00
