station,sensor,method,n_scored,n_flagged,flagged_rate
recinto-esparza,luminous_intensity,isolation_forest,88140,30241,0.3431018833673701
recinto-esparza,luminous_intensity,lof,88140,1028,0.011663262990696619
recinto-esparza,precipitation,isolation_forest,91058,5800,0.06369566649827582
recinto-esparza,precipitation,lof,91058,369,0.004052362230666169
recinto-esparza,pressure,isolation_forest,88140,16199,0.18378715679600635
recinto-esparza,pressure,lof,88140,1488,0.016882232811436353
recinto-santa-cruz,luminous_intensity,isolation_forest,58843,20442,0.347399010927383
recinto-santa-cruz,luminous_intensity,lof,58843,2885,0.04902877147664123
recinto-santa-cruz,precipitation,isolation_forest,88022,2364,0.02685692213310309
recinto-santa-cruz,precipitation,lof,88022,158,0.001795005794006044
recinto-santa-cruz,pressure,isolation_forest,58843,4112,0.06988086943221794
recinto-santa-cruz,pressure,lof,58843,1285,0.021837771697568106
sede-atlantico_turrialba,luminous_intensity,isolation_forest,96011,27749,0.2890189665767464
sede-atlantico_turrialba,luminous_intensity,lof,96011,1598,0.01664392621678766
sede-atlantico_turrialba,precipitation,isolation_forest,98134,12244,0.12476817412925184
sede-atlantico_turrialba,precipitation,lof,98134,476,0.004850510526423054
sede-atlantico_turrialba,pressure,isolation_forest,96011,17567,0.18296861817916696
sede-atlantico_turrialba,pressure,lof,96011,1678,0.017477164074949744
sede-caribe_limon,luminous_intensity,isolation_forest,30720,9057,0.29482421875
sede-caribe_limon,luminous_intensity,lof,30720,424,0.013802083333333333
sede-caribe_limon,precipitation,isolation_forest,38797,4125,0.10632265381343918
sede-caribe_limon,precipitation,lof,38797,385,0.009923447689254324
sede-caribe_limon,pressure,isolation_forest,30720,5566,0.18118489583333333
sede-caribe_limon,pressure,lof,30720,584,0.019010416666666665
sede-central_finca-1,luminous_intensity,isolation_forest,38611,8816,0.2283287146150061
sede-central_finca-1,luminous_intensity,lof,38611,508,0.013156872393877393
sede-central_finca-1,precipitation,isolation_forest,40354,3935,0.09751201863507955
sede-central_finca-1,precipitation,lof,40354,155,0.003841007087277593
sede-central_finca-1,pressure,isolation_forest,38611,7566,0.19595452073243377
sede-central_finca-1,pressure,lof,38611,578,0.014969827251301443
sede-central_finca-2,luminous_intensity,isolation_forest,46755,12761,0.272933376109507
sede-central_finca-2,luminous_intensity,lof,46755,666,0.01424446583253128
sede-central_finca-2,precipitation,isolation_forest,64405,3749,0.05820976632249049
sede-central_finca-2,precipitation,lof,64405,258,0.00400590016303082
sede-central_finca-2,pressure,isolation_forest,46755,4578,0.09791466153352582
sede-central_finca-2,pressure,lof,46755,724,0.015484974868997968
sede-central_finca-3,luminous_intensity,isolation_forest,55511,12091,0.21781268577399074
sede-central_finca-3,luminous_intensity,lof,55511,1578,0.028426798292230368
sede-central_finca-3,precipitation,isolation_forest,79418,4730,0.05955828653453877
sede-central_finca-3,precipitation,lof,79418,286,0.003601198720693042
sede-central_finca-3,pressure,isolation_forest,55511,9519,0.17147952658031743
sede-central_finca-3,pressure,lof,55511,807,0.014537659202680549
sede-central_losic-norte-1,luminous_intensity,isolation_forest,18051,5846,0.3238601739515816
sede-central_losic-norte-1,luminous_intensity,lof,18051,235,0.013018669325799124
sede-central_losic-norte-1,precipitation,isolation_forest,18745,1513,0.08071485729527875
sede-central_losic-norte-1,precipitation,lof,18745,119,0.006348359562550013
sede-central_losic-norte-1,pressure,isolation_forest,18051,3250,0.1800454268461581
sede-central_losic-norte-1,pressure,lof,18051,259,0.014348235554816907
sede-central_losic-norte-2,luminous_intensity,isolation_forest,12245,3390,0.2768476929358922
sede-central_losic-norte-2,luminous_intensity,lof,12245,213,0.017394855042874642
sede-central_losic-norte-2,precipitation,isolation_forest,20805,703,0.033789954337899546
sede-central_losic-norte-2,precipitation,lof,20805,101,0.004854602259072339
sede-central_losic-norte-2,pressure,isolation_forest,12245,880,0.07186606778276848
sede-central_losic-norte-2,pressure,lof,12245,148,0.01208656594528379
sede-central_sabanilla,luminous_intensity,isolation_forest,15449,4271,0.27645802317302093
sede-central_sabanilla,luminous_intensity,lof,15449,256,0.01657065182212441
sede-central_sabanilla,precipitation,isolation_forest,15634,1449,0.0926826148138672
sede-central_sabanilla,precipitation,lof,15634,151,0.009658436740437508
sede-central_sabanilla,pressure,isolation_forest,15449,2882,0.18654929121625996
sede-central_sabanilla,pressure,lof,15449,225,0.014564049453039032
sede-guanacaste_liberia,luminous_intensity,isolation_forest,62946,21605,0.3432307056842373
sede-guanacaste_liberia,luminous_intensity,lof,62946,1261,0.02003304419661297
sede-guanacaste_liberia,precipitation,isolation_forest,83738,5053,0.06034297451575151
sede-guanacaste_liberia,precipitation,lof,83738,457,0.005457498387828704
sede-guanacaste_liberia,pressure,isolation_forest,62946,7702,0.12235884726591047
sede-guanacaste_liberia,pressure,lof,62946,1061,0.016855717599212023
sede-sur_golfito,luminous_intensity,isolation_forest,77993,21741,0.2787557857756465
sede-sur_golfito,luminous_intensity,lof,77993,969,0.012424191914659008
sede-sur_golfito,precipitation,isolation_forest,88027,8242,0.0936303634112261
sede-sur_golfito,precipitation,lof,88027,502,0.005702795733127336
sede-sur_golfito,pressure,isolation_forest,77993,11812,0.1514494890567102
sede-sur_golfito,pressure,lof,77993,1490,0.01910427858910415
