sensor,method_a,method_b,jaccard
luminous_intensity,isolation_forest,isolation_forest_6h,0.08429540040315192
luminous_intensity,isolation_forest,lof,0.013011470638589283
luminous_intensity,isolation_forest,lof_6h,0.007922310247891643
luminous_intensity,isolation_forest,modified_z_score,0.04549871896810672
luminous_intensity,isolation_forest,z_score,0.050696972387463374
luminous_intensity,isolation_forest_6h,lof,0.005779364269930308
luminous_intensity,isolation_forest_6h,lof_6h,0.009642460960832835
luminous_intensity,isolation_forest_6h,modified_z_score,0.01867952139106482
luminous_intensity,isolation_forest_6h,z_score,0.00740614625010641
luminous_intensity,lof,lof_6h,0.05182682905147124
luminous_intensity,lof,modified_z_score,0.004839942260337947
luminous_intensity,lof,z_score,0.005608429639700884
luminous_intensity,lof_6h,modified_z_score,0.007150153217568948
luminous_intensity,lof_6h,z_score,0.0020325203252032522
luminous_intensity,modified_z_score,z_score,0.08102676532383302
precipitation,isolation_forest,isolation_forest_6h,0.29029678336591436
precipitation,isolation_forest,lof,0.2435579145621094
precipitation,isolation_forest,lof_6h,0.050575211634469285
precipitation,isolation_forest,modified_z_score,0.3682053283887967
precipitation,isolation_forest,z_score,0.20596295988705257
precipitation,isolation_forest_6h,lof,0.15060574867368753
precipitation,isolation_forest_6h,lof_6h,0.06715156858423334
precipitation,isolation_forest_6h,modified_z_score,0.17079889807162535
precipitation,isolation_forest_6h,z_score,0.09630188679245283
precipitation,lof,lof_6h,0.06298924573853244
precipitation,lof,modified_z_score,0.1701417848206839
precipitation,lof,z_score,0.12564877217445194
precipitation,lof_6h,modified_z_score,0.05729794933655006
precipitation,lof_6h,z_score,0.054140358516583206
precipitation,modified_z_score,z_score,0.4156656909256082
pressure,isolation_forest,isolation_forest_6h,0.3787719911452872
pressure,isolation_forest,lof,0.02967023405551205
pressure,isolation_forest,lof_6h,0.054911748974861826
pressure,isolation_forest,modified_z_score,0.019903498190591073
pressure,isolation_forest,z_score,0.024854940677232183
pressure,isolation_forest_6h,lof,0.020700362256339484
pressure,isolation_forest_6h,lof_6h,0.04255131706457581
pressure,isolation_forest_6h,modified_z_score,0.011795879989742714
pressure,isolation_forest_6h,z_score,0.01903039696891415
pressure,lof,lof_6h,0.0418170613610353
pressure,lof,modified_z_score,0.032626712030009594
pressure,lof,z_score,0.058213359563623356
pressure,lof_6h,modified_z_score,0.04116457032280763
pressure,lof_6h,z_score,0.05462971214686748
pressure,modified_z_score,z_score,0.2062570060124325
