station,n_bins,zero_share,suspect_zeros,suspect_share_of_zeros,nonzero_while_offline
sede-central_losic-norte-2,25099,0.8169648193155106,9133,0.44540356010729093,0
sede-central_finca-3,88032,0.8822700836059615,30357,0.3908559509707988,0
recinto-santa-cruz,88027,0.9895600213570837,30462,0.3497038159526106,0
sede-central_finca-2,64410,0.9770998292190654,20768,0.32999126082466035,0
sede-guanacaste_liberia,88032,0.9417030170846965,23892,0.28820265379975873,0
sede-caribe_limon,38802,0.9431988041853513,8730,0.23853762500683098,0
sede-sur_golfito,88032,0.9544143038894948,11222,0.13356502695818803,0
sede-central_finca-1,40359,0.9823087787110681,2233,0.0563248833396393,0
recinto-esparza,91063,0.973633638250442,4770,0.0537998240508899,0
sede-central_losic-norte-1,18750,0.9668266666666666,802,0.04424095322153575,0
sede-atlantico_turrialba,98139,0.9361314054555273,2880,0.0313483035996125,0
sede-central_sabanilla,15639,0.959971865208773,284,0.018916938653167254,0
