sensor,method_a,method_b,jaccard,comparison,flagged_rate_b
luminous_intensity,latent_16,latent_2,0.024364499956020757,bottleneck,0.02931514157027193
luminous_intensity,latent_16,latent_4,0.14655822922780246,bottleneck,0.013079972178892422
luminous_intensity,latent_16,latent_8,0.3213608594902043,bottleneck,0.011172335554970322
luminous_intensity,latent_2,latent_4,0.09281984334203655,bottleneck,0.013079972178892422
luminous_intensity,latent_2,latent_8,0.04210480577040063,bottleneck,0.011172335554970322
luminous_intensity,latent_4,latent_8,0.2750510339930771,bottleneck,0.011172335554970322
precipitation,latent_16,latent_2,0.5882416748020393,bottleneck,0.01033732542346292
precipitation,latent_16,latent_4,0.6533043179475433,bottleneck,0.010052471008838744
precipitation,latent_16,latent_8,0.7309983321420062,bottleneck,0.01018320129574356
precipitation,latent_2,latent_4,0.7656101048617732,bottleneck,0.010052471008838744
precipitation,latent_2,latent_8,0.655417406749556,bottleneck,0.01018320129574356
precipitation,latent_4,latent_8,0.7285764664394029,bottleneck,0.01018320129574356
pressure,latent_16,latent_2,0.1569253438113949,bottleneck,0.020388077439917888
pressure,latent_16,latent_4,0.3401726764855256,bottleneck,0.010849894320307382
pressure,latent_16,latent_8,0.5697588582677166,bottleneck,0.010115538628797547
pressure,latent_2,latent_4,0.23097392229909527,bottleneck,0.010849894320307382
pressure,latent_2,latent_8,0.17133411124076234,bottleneck,0.010115538628797547
pressure,latent_4,latent_8,0.4020094829532626,bottleneck,0.010115538628797547
