station,sensor,method,n_scored,n_flagged,flagged_rate,n_train,epochs,ended_early,best_val_loss
recinto-esparza,luminous_intensity,autoencoder,87510,782,0.008936121586104444,69620,41,True,0.012482541845773038
recinto-esparza,precipitation,autoencoder,91028,881,0.009678340730324735,72822,223,True,0.021292911376292568
recinto-esparza,pressure,autoencoder,87510,767,0.008764712604273797,69620,74,True,0.0020939315591932024
recinto-santa-cruz,luminous_intensity,autoencoder,58063,745,0.012830890584365259,40853,96,True,0.011917380574724828
recinto-santa-cruz,precipitation,autoencoder,87992,944,0.010728248022547505,70393,141,True,0.00862942765575267
recinto-santa-cruz,pressure,autoencoder,58063,1352,0.02328505244303601,40853,69,True,0.014471313814518412
sede-atlantico_turrialba,luminous_intensity,autoencoder,95651,1225,0.012806975358333942,76668,51,True,0.008530376453959548
sede-atlantico_turrialba,precipitation,autoencoder,98104,415,0.004230204680746963,78483,73,True,0.03513199894645213
sede-atlantico_turrialba,pressure,autoencoder,95651,608,0.006356441647238398,76668,108,True,0.0011527582811387824
sede-caribe_limon,luminous_intensity,autoencoder,30450,102,0.003349753694581281,26440,73,True,0.030932387337088585
sede-caribe_limon,precipitation,autoencoder,38767,207,0.005339592952769108,31013,135,True,0.06851629167795181
sede-caribe_limon,pressure,autoencoder,30450,108,0.0035467980295566504,26440,171,True,0.0016929092817008495
sede-central_finca-1,luminous_intensity,autoencoder,38371,336,0.008756613067160095,30376,57,True,0.032611411064863205
sede-central_finca-1,precipitation,autoencoder,40324,424,0.010514829877988295,32259,188,True,0.0047507695853710175
sede-central_finca-1,pressure,autoencoder,38371,202,0.005264392379661724,30376,170,True,0.0005585893522948027
sede-central_finca-2,luminous_intensity,autoencoder,44775,347,0.007749860413176996,34263,82,True,0.03793940234991695
sede-central_finca-2,precipitation,autoencoder,64375,700,0.01087378640776699,51500,118,True,0.012896801905344845
sede-central_finca-2,pressure,autoencoder,44775,965,0.021552205471803462,34263,54,True,0.3547244198900992
sede-central_finca-3,luminous_intensity,autoencoder,52751,379,0.007184697920418571,37022,166,True,0.05221814193578517
sede-central_finca-3,precipitation,autoencoder,79358,1252,0.015776607273368784,61758,146,True,0.008246276388791475
sede-central_finca-3,pressure,autoencoder,52751,166,0.003146859775170139,37022,51,True,0.12865062297747995
sede-central_losic-norte-1,luminous_intensity,autoencoder,17961,217,0.01208173264294861,14218,85,True,0.009852908551692963
sede-central_losic-norte-1,precipitation,autoencoder,18715,501,0.02676997061180871,14972,111,True,0.004699257668107748
sede-central_losic-norte-1,pressure,autoencoder,17961,178,0.009910361338455543,14218,132,True,0.0038303672336041927
sede-central_losic-norte-2,luminous_intensity,autoencoder,11936,476,0.03987935656836461,7148,133,True,0.021290550008416176
sede-central_losic-norte-2,precipitation,autoencoder,20745,68,0.003277898288744276,15732,238,True,0.02862737886607647
sede-central_losic-norte-2,pressure,autoencoder,11936,48,0.004021447721179625,7148,98,True,1.191261649131775
sede-central_sabanilla,luminous_intensity,autoencoder,15389,52,0.0033790369744622784,12268,118,True,0.030833203345537186
sede-central_sabanilla,precipitation,autoencoder,15604,122,0.007818508074852602,12483,176,True,0.013462244533002377
sede-central_sabanilla,pressure,autoencoder,15389,41,0.00266424069140295,12268,293,True,0.0024946960620582104
sede-guanacaste_liberia,luminous_intensity,autoencoder,61866,790,0.012769534154462872,49672,47,True,0.005085188912342924
sede-guanacaste_liberia,precipitation,autoencoder,83678,464,0.005545065608642654,66721,24,True,0.036410140702538084
sede-guanacaste_liberia,pressure,autoencoder,61866,444,0.007176801474153816,49672,75,True,0.003952576704744884
sede-sur_golfito,luminous_intensity,autoencoder,77633,1167,0.01503226720595623,60296,40,True,0.012785629831676068
sede-sur_golfito,precipitation,autoencoder,87997,1422,0.016159641805970657,70397,81,True,0.031766002015634016
sede-sur_golfito,pressure,autoencoder,77633,1113,0.01433668671827702,60296,77,True,0.0025224110466729086
