sensor,method_a,method_b,jaccard,method,stations
luminous_intensity,latent_16,latent_2,0.08665058303176518,lstm_ae,4
luminous_intensity,latent_16,latent_4,0.33679412509496076,lstm_ae,4
luminous_intensity,latent_16,latent_8,0.4344991108476586,lstm_ae,4
luminous_intensity,latent_2,latent_4,0.14929262844378258,lstm_ae,4
luminous_intensity,latent_2,latent_8,0.13228035538005922,lstm_ae,4
luminous_intensity,latent_4,latent_8,0.525428338319282,lstm_ae,4
precipitation,latent_16,latent_2,0.6849380362249762,lstm_ae,4
precipitation,latent_16,latent_4,0.7123486682808716,lstm_ae,4
precipitation,latent_16,latent_8,0.6865742952699474,lstm_ae,4
precipitation,latent_2,latent_4,0.7744090441932169,lstm_ae,4
precipitation,latent_2,latent_8,0.7971845672575599,lstm_ae,4
precipitation,latent_4,latent_8,0.8128286014721346,lstm_ae,4
pressure,latent_16,latent_2,0.2821301775147929,lstm_ae,4
pressure,latent_16,latent_4,0.6685757922871325,lstm_ae,4
pressure,latent_16,latent_8,0.7108386075949367,lstm_ae,4
pressure,latent_2,latent_4,0.3037944284341979,lstm_ae,4
pressure,latent_2,latent_8,0.30174081237911027,lstm_ae,4
pressure,latent_4,latent_8,0.8176865046102263,lstm_ae,4
luminous_intensity,latent_16,latent_2,0.2514342728860065,gru_ae,4
luminous_intensity,latent_16,latent_4,0.3732147669091889,gru_ae,4
luminous_intensity,latent_16,latent_8,0.47550958320657133,gru_ae,4
luminous_intensity,latent_2,latent_4,0.3424818203143326,gru_ae,4
luminous_intensity,latent_2,latent_8,0.25331807780320365,gru_ae,4
luminous_intensity,latent_4,latent_8,0.5545607162842753,gru_ae,4
precipitation,latent_16,latent_2,0.67440780306549,gru_ae,4
precipitation,latent_16,latent_4,0.7041284403669725,gru_ae,4
precipitation,latent_16,latent_8,0.712670748940179,gru_ae,4
precipitation,latent_2,latent_4,0.755203171456888,gru_ae,4
precipitation,latent_2,latent_8,0.7632382892057027,gru_ae,4
precipitation,latent_4,latent_8,0.8220295767465579,gru_ae,4
pressure,latent_16,latent_2,0.2600732600732601,gru_ae,4
pressure,latent_16,latent_4,0.7074880118037624,gru_ae,4
pressure,latent_16,latent_8,0.5825242718446602,gru_ae,4
pressure,latent_2,latent_4,0.2510314875135722,gru_ae,4
pressure,latent_2,latent_8,0.47057387057387057,gru_ae,4
pressure,latent_4,latent_8,0.5456456456456457,gru_ae,4
