sensor,method_a,method_b,jaccard,view
luminous_intensity,autoencoder,gru_ae,0.5143633999290697,native
luminous_intensity,autoencoder,lstm_ae,0.3762982398600634,native
luminous_intensity,gru_ae,lstm_ae,0.5111193937135048,native
precipitation,autoencoder,gru_ae,0.650247898253934,native
precipitation,autoencoder,lstm_ae,0.6288367012561442,native
precipitation,gru_ae,lstm_ae,0.7723511836359458,native
pressure,autoencoder,gru_ae,0.374987143885632,native
pressure,autoencoder,lstm_ae,0.36957470010905125,native
pressure,gru_ae,lstm_ae,0.6953191489361702,native
luminous_intensity,autoencoder,gru_ae,0.5152368758002561,matched_budget
luminous_intensity,autoencoder,lstm_ae,0.3789326497319972,matched_budget
luminous_intensity,gru_ae,lstm_ae,0.5017766497461928,matched_budget
precipitation,autoencoder,gru_ae,0.6511654349061967,matched_budget
precipitation,autoencoder,lstm_ae,0.6483541430192963,matched_budget
precipitation,gru_ae,lstm_ae,0.8024078441107112,matched_budget
pressure,autoencoder,gru_ae,0.33506317689530685,matched_budget
pressure,autoencoder,lstm_ae,0.31943360463819825,matched_budget
pressure,gru_ae,lstm_ae,0.7235653946985144,matched_budget
