station,sensor,method,percentile,cutoff,rate_overall
recinto-esparza,pressure,lstm_ae,0.9,0.01071176864206791,0.09307507713404183
recinto-esparza,pressure,lstm_ae,0.95,0.014914948493242264,0.05139984001828363
recinto-esparza,pressure,lstm_ae,0.99,0.027858156710863113,0.012912809964575478
recinto-esparza,pressure,gru_ae,0.9,0.009885004721581936,0.09347503142498
recinto-esparza,pressure,gru_ae,0.95,0.01369017269462347,0.050908467603702434
recinto-esparza,pressure,gru_ae,0.99,0.02556700073182583,0.012512855673637299
recinto-esparza,precipitation,lstm_ae,0.9,0.01390060968697071,0.09316913477171859
recinto-esparza,precipitation,lstm_ae,0.95,0.06716105341911316,0.04936942479237158
recinto-esparza,precipitation,lstm_ae,0.99,0.40056943893432617,0.014204420617831877
recinto-esparza,precipitation,gru_ae,0.9,0.019950907677412033,0.09081820978160567
recinto-esparza,precipitation,gru_ae,0.95,0.081666000187397,0.051039240673199454
recinto-esparza,precipitation,gru_ae,0.99,0.4774627089500427,0.014566946434064244
recinto-esparza,luminous_intensity,lstm_ae,0.9,0.02866799384355545,0.11351845503371043
recinto-esparza,luminous_intensity,lstm_ae,0.95,0.044573429971933365,0.05842760827334019
recinto-esparza,luminous_intensity,lstm_ae,0.99,0.08565463125705719,0.008159067535138842
recinto-esparza,luminous_intensity,gru_ae,0.9,0.0367828905582428,0.11181579248085934
recinto-esparza,luminous_intensity,gru_ae,0.95,0.05532079190015793,0.06057593417895098
recinto-esparza,luminous_intensity,gru_ae,0.99,0.10293367505073547,0.009473203062507141
recinto-santa-cruz,pressure,lstm_ae,0.9,0.017365071922540665,0.07767425038320445
recinto-santa-cruz,pressure,lstm_ae,0.95,0.02491166815161705,0.04271222637479979
recinto-santa-cruz,pressure,lstm_ae,0.99,0.05226429924368858,0.018996607133630713
recinto-santa-cruz,pressure,gru_ae,0.9,0.22162380814552307,0.17815131839553588
recinto-santa-cruz,pressure,gru_ae,0.95,0.28970807790756226,0.10445550522708093
recinto-santa-cruz,pressure,gru_ae,0.99,0.4354895353317261,0.028968534178392437
recinto-santa-cruz,precipitation,lstm_ae,0.9,0.0024682015646249056,0.06082371124647695
recinto-santa-cruz,precipitation,lstm_ae,0.95,0.039009787142276764,0.03327575234112192
recinto-santa-cruz,precipitation,lstm_ae,0.99,0.5317897796630859,0.009353123011182836
recinto-santa-cruz,precipitation,gru_ae,0.9,0.0022056244779378176,0.06059641785616874
