sensor,n_methods_flagging,n_rows
luminous_intensity,0,561522
luminous_intensity,1,21096
luminous_intensity,2,4117
luminous_intensity,3,2709
luminous_intensity,4,743
luminous_intensity,5,141
luminous_intensity,6,23
luminous_intensity,7,1
precipitation,0,704003
precipitation,1,9644
precipitation,2,4470
precipitation,3,5171
precipitation,4,1799
precipitation,5,861
precipitation,6,437
precipitation,7,302
pressure,0,566283
pressure,1,16960
pressure,2,4839
pressure,3,2853
pressure,4,1012
pressure,5,299
pressure,6,88
pressure,7,22
