sensor,method,n_aligned,n_flagged_native,rate_native_pct
luminous_intensity,autoencoder,590352,6618,1.121026099682901
luminous_intensity,gru_ae,590352,6192,1.0488657614440198
luminous_intensity,isolation_forest,590352,175017,29.64621107407106
luminous_intensity,lof,590352,11389,1.9291880098653007
luminous_intensity,lstm_ae,590352,5971,1.0114304686017834
luminous_intensity,modified_z_score,590352,14312,2.4243163400818495
luminous_intensity,z_score,590352,87,0.014736970485405317
luminous_intensity,z_score_context_hour,590352,2421,0.4100943166111066
precipitation,autoencoder,726687,7400,1.018320129574356
precipitation,gru_ae,726687,7911,1.0886392628463148
precipitation,isolation_forest,726687,53803,7.403875396147172
precipitation,lof,726687,3400,0.4678768162909203
precipitation,lstm_ae,726687,7512,1.033732542346292
precipitation,modified_z_score,726687,16405,2.2575056386036905
precipitation,z_score,726687,3913,0.5384711712195209
pressure,autoencoder,592356,5992,1.0115538628797547
pressure,gru_ae,592356,7377,1.2453659623604725
pressure,isolation_forest,592356,89981,15.190358500631376
pressure,lof,592356,10159,1.7150159701260728
pressure,lstm_ae,592356,6567,1.1086238680793308
pressure,modified_z_score,592356,18450,3.114681036403784
pressure,z_score,592356,12,0.0020258088041650627
