regime,sensor,method_a,method_b,jaccard
native,luminous_intensity,autoencoder,gru_ae,0.5143633999290697
native,luminous_intensity,autoencoder,isolation_forest,0.034697853529599414
native,luminous_intensity,autoencoder,lof,0.02196367763904654
native,luminous_intensity,autoencoder,lstm_ae,0.3762982398600634
native,luminous_intensity,autoencoder,modified_z_score,0.009258366284116115
native,luminous_intensity,autoencoder,z_score,0.00014916467780429595
native,luminous_intensity,autoencoder,z_score_context_hour,0.0013293452974410102
native,luminous_intensity,gru_ae,isolation_forest,0.03235932523970398
native,luminous_intensity,gru_ae,lof,0.021379190146981933
native,luminous_intensity,gru_ae,lstm_ae,0.5111193937135048
native,luminous_intensity,gru_ae,modified_z_score,0.0077656541826403224
native,luminous_intensity,gru_ae,z_score,0.0
native,luminous_intensity,gru_ae,z_score_context_hour,0.002560819462227913
native,luminous_intensity,isolation_forest,lof,0.015742410784831923
native,luminous_intensity,isolation_forest,lstm_ae,0.031564548304360215
native,luminous_intensity,isolation_forest,modified_z_score,0.05847263375635937
native,luminous_intensity,isolation_forest,z_score,0.0004799451491258142
native,luminous_intensity,isolation_forest,z_score_context_hour,0.006403530165788473
native,luminous_intensity,lof,lstm_ae,0.02177751618599176
native,luminous_intensity,lof,modified_z_score,0.013206654576992825
native,luminous_intensity,lof,z_score,0.0006103409189990409
native,luminous_intensity,lof,z_score_context_hour,0.008765522279035792
native,luminous_intensity,lstm_ae,modified_z_score,0.0067004169148302565
native,luminous_intensity,lstm_ae,z_score,0.0
native,luminous_intensity,lstm_ae,z_score_context_hour,0.00250866085294469
native,luminous_intensity,modified_z_score,z_score,0.005235967606813739
native,luminous_intensity,modified_z_score,z_score_context_hour,0.01326147511202616
native,luminous_intensity,z_score,z_score_context_hour,0.00039888312724371757
native,precipitation,autoencoder,gru_ae,0.650247898253934
native,precipitation,autoencoder,isolation_forest,0.07547269276727349
native,precipitation,autoencoder,lof,0.05913503971756399
native,precipitation,autoencoder,lstm_ae,0.6288367012561442
native,precipitation,autoencoder,modified_z_score,0.07399052560342884
native,precipitation,autoencoder,z_score,0.020752503834701796
native,precipitation,gru_ae,isolation_forest,0.08218913847826469
native,precipitation,gru_ae,lof,0.05522903255900737
native,precipitation,gru_ae,lstm_ae,0.7723511836359458
native,precipitation,gru_ae,modified_z_score,0.08085522514112993
native,precipitation,gru_ae,z_score,0.019310344827586208
native,precipitation,isolation_forest,lof,0.06189088343945497
native,precipitation,isolation_forest,lstm_ae,0.08064999383140345
native,precipitation,isolation_forest,modified_z_score,0.3047873922093369
native,precipitation,isolation_forest,z_score,0.0727282865267736
native,precipitation,lof,lstm_ae,0.058389912706110575
native,precipitation,lof,modified_z_score,0.047828157240357654
native,precipitation,lof,z_score,0.022940271366624704
native,precipitation,lstm_ae,modified_z_score,0.0790922216206461
native,precipitation,lstm_ae,z_score,0.01963409192324855
native,precipitation,modified_z_score,z_score,0.22708056528566253
native,pressure,autoencoder,gru_ae,0.374987143885632
native,pressure,autoencoder,isolation_forest,0.035519685803994346
native,pressure,autoencoder,lof,0.04903871135359834
native,pressure,autoencoder,lstm_ae,0.36957470010905125
native,pressure,autoencoder,modified_z_score,0.016045892916528103
native,pressure,autoencoder,z_score,0.001668335001668335
native,pressure,gru_ae,isolation_forest,0.04964798982243162
native,pressure,gru_ae,lof,0.0414538543770044
native,pressure,gru_ae,lstm_ae,0.6953191489361702
native,pressure,gru_ae,modified_z_score,0.01589112221217008
native,pressure,gru_ae,z_score,0.0010838639750711287
native,pressure,isolation_forest,lof,0.019641384366313346
native,pressure,isolation_forest,lstm_ae,0.045468819369998595
native,pressure,isolation_forest,modified_z_score,0.03863100825686316
native,pressure,isolation_forest,z_score,0.00013336148742512308
native,pressure,lof,lstm_ae,0.044135089581122416
native,pressure,lof,modified_z_score,0.03689608930448335
native,pressure,lof,z_score,0.0003934297236156192
native,pressure,lstm_ae,modified_z_score,0.017033905195544354
native,pressure,lstm_ae,z_score,0.0012174707046111702
native,pressure,modified_z_score,z_score,0.0006504065040650406
matched,luminous_intensity,autoencoder,gru_ae,0.5145755746757417
matched,luminous_intensity,autoencoder,isolation_forest,0.09813780260707634
matched,luminous_intensity,autoencoder,lof,0.008982804345966293
matched,luminous_intensity,autoencoder,lstm_ae,0.37877016600420854
matched,luminous_intensity,autoencoder,modified_z_score,0.006228137530927396
matched,luminous_intensity,autoencoder,z_score,0.03701749758199244
matched,luminous_intensity,autoencoder,z_score_context_hour,0.006571648032772894
matched,luminous_intensity,gru_ae,isolation_forest,0.0980355646587841
matched,luminous_intensity,gru_ae,lof,0.00915547189184564
matched,luminous_intensity,gru_ae,lstm_ae,0.5024203821656051
matched,luminous_intensity,gru_ae,modified_z_score,0.004942058623040218
matched,luminous_intensity,gru_ae,z_score,0.04150476863299188
matched,luminous_intensity,gru_ae,z_score_context_hour,0.008896492728828058
matched,luminous_intensity,isolation_forest,lof,0.013056175914791274
matched,luminous_intensity,isolation_forest,lstm_ae,0.09824005959586554
matched,luminous_intensity,isolation_forest,modified_z_score,0.04538202446374756
matched,luminous_intensity,isolation_forest,z_score,0.050503251091119625
matched,luminous_intensity,isolation_forest,z_score_context_hour,0.01637366425370562
matched,luminous_intensity,lof,lstm_ae,0.009587399417907892
matched,luminous_intensity,lof,modified_z_score,0.004856436908920508
matched,luminous_intensity,lof,z_score,0.005541819421945605
matched,luminous_intensity,lof,z_score_context_hour,0.012099888440744873
matched,luminous_intensity,lstm_ae,modified_z_score,0.0040010215374138075
matched,luminous_intensity,lstm_ae,z_score,0.04417884019477645
matched,luminous_intensity,lstm_ae,z_score_context_hour,0.008982804345966293
matched,luminous_intensity,modified_z_score,z_score,0.08063038299431922
matched,luminous_intensity,modified_z_score,z_score_context_hour,0.025565217391304348
matched,luminous_intensity,z_score,z_score_context_hour,0.011665808886601476
matched,precipitation,autoencoder,gru_ae,0.6511654349061967
matched,precipitation,autoencoder,isolation_forest,0.20289975144987574
matched,precipitation,autoencoder,lof,0.12392666511951729
matched,precipitation,autoencoder,lstm_ae,0.6483541430192963
matched,precipitation,autoencoder,modified_z_score,0.09009639303482588
matched,precipitation,autoencoder,z_score,0.043690715722908884
matched,precipitation,gru_ae,isolation_forest,0.20489626556016596
matched,precipitation,gru_ae,lof,0.12219046883447902
matched,precipitation,gru_ae,lstm_ae,0.8024078441107112
matched,precipitation,gru_ae,modified_z_score,0.08891132163379407
matched,precipitation,gru_ae,z_score,0.043690715722908884
matched,precipitation,isolation_forest,lof,0.2435579145621094
matched,precipitation,isolation_forest,lstm_ae,0.20780301139672241
matched,precipitation,isolation_forest,modified_z_score,0.3682053283887967
matched,precipitation,isolation_forest,z_score,0.20596295988705257
matched,precipitation,lof,lstm_ae,0.1234921125889267
matched,precipitation,lof,modified_z_score,0.1701417848206839
matched,precipitation,lof,z_score,0.12564877217445194
matched,precipitation,lstm_ae,modified_z_score,0.09094445308853276
matched,precipitation,lstm_ae,z_score,0.04429105550762151
matched,precipitation,modified_z_score,z_score,0.4156656909256082
matched,pressure,autoencoder,gru_ae,0.33506317689530685
matched,pressure,autoencoder,isolation_forest,0.1367915465898175
matched,pressure,autoencoder,lof,0.06134529147982063
matched,pressure,autoencoder,lstm_ae,0.31943360463819825
matched,pressure,autoencoder,modified_z_score,0.021487745944080084
matched,pressure,autoencoder,z_score,0.04337859284076882
matched,pressure,gru_ae,isolation_forest,0.20681215582296553
matched,pressure,gru_ae,lof,0.046608295745998056
matched,pressure,gru_ae,lstm_ae,0.7235653946985144
matched,pressure,gru_ae,modified_z_score,0.024671052631578948
matched,pressure,gru_ae,z_score,0.03697861899754644
matched,pressure,isolation_forest,lof,0.02967023405551205
matched,pressure,isolation_forest,lstm_ae,0.22682977399958532
matched,pressure,isolation_forest,modified_z_score,0.019903498190591073
matched,pressure,isolation_forest,z_score,0.024854940677232183
matched,pressure,lof,lstm_ae,0.04512938267243664
matched,pressure,lof,modified_z_score,0.032626712030009594
matched,pressure,lof,z_score,0.058213359563623356
matched,pressure,lstm_ae,modified_z_score,0.026003293750541737
matched,pressure,lstm_ae,z_score,0.03688775957241742
matched,pressure,modified_z_score,z_score,0.2062570060124325
