sensor,method_a,method_b,jaccard,cohen_kappa,raw_agreement
luminous_intensity,autoencoder,gru_ae,0.5145755746757417,0.6762642679564825,0.9935970404097895
luminous_intensity,autoencoder,isolation_forest,0.09813780260707634,0.1704485977318756,0.9835928395262488
luminous_intensity,autoencoder,lof,0.008982804345966293,0.007895576721665076,0.9803778084939155
luminous_intensity,autoencoder,lstm_ae,0.37877016600420854,0.5448857989208329,0.9909985906713283
luminous_intensity,autoencoder,modified_z_score,0.006228137530927396,0.0024143368140499,0.9802693985960919
luminous_intensity,autoencoder,z_score,0.03701749758199244,0.062022820809364276,0.9814483562349242
luminous_intensity,autoencoder,z_score_context_hour,0.006571648032772894,0.003099491802501797,0.9802829498333198
luminous_intensity,gru_ae,isolation_forest,0.0980355646587841,0.17027730898476268,0.9835894517169418
luminous_intensity,gru_ae,lof,0.00915547189184564,0.008238154215891025,0.9803845841125295
luminous_intensity,gru_ae,lstm_ae,0.5024203821656051,0.6654730768883653,0.9933836084234491
luminous_intensity,gru_ae,modified_z_score,0.004942058623040218,-0.00015499439264465842,0.980218581456487
luminous_intensity,gru_ae,z_score,0.04150476863299188,0.07041596941789985,0.9816143588909667
luminous_intensity,gru_ae,z_score_context_hour,0.008896492728828058,0.0077242879745520465,0.9803744206846084
luminous_intensity,isolation_forest,lof,0.013056175914791274,0.0159461478359747,0.980537035531344
luminous_intensity,isolation_forest,lstm_ae,0.09824005959586554,0.17061988647898862,0.9835962273355557
luminous_intensity,isolation_forest,modified_z_score,0.04538202446374756,0.07761009679664477,0.9817566468818603
luminous_intensity,isolation_forest,z_score,0.050503251091119625,0.08703097788785819,0.9819429763937447
luminous_intensity,isolation_forest,z_score_context_hour,0.01637366425370562,0.022455120226267722,0.9806657722850096
luminous_intensity,lof,lstm_ae,0.009587399417907892,0.00909459795145584,0.9804015231590644
luminous_intensity,lof,modified_z_score,0.004856436908920508,-0.0003262831397576882,0.98021519364718
luminous_intensity,lof,z_score,0.005541819421945605,0.0010440268371461059,0.9802422961216359
luminous_intensity,lof,z_score_context_hour,0.012099888440744873,0.014061971617732039,0.9804997696289671
luminous_intensity,lstm_ae,modified_z_score,0.0040010215374138075,-0.0020391706108873198,0.9801813155541101
luminous_intensity,lstm_ae,z_score,0.04417884019477645,0.07538334308417605,0.9817126053608695
luminous_intensity,lstm_ae,z_score_context_hour,0.008982804345966293,0.007895576721665076,0.9803778084939155
luminous_intensity,modified_z_score,z_score,0.08063038299431922,0.14064435573421852,0.9830033607068326
luminous_intensity,modified_z_score,z_score_context_hour,0.025565217391304348,0.04026914992601682,0.9810181044529366
luminous_intensity,z_score,z_score_context_hour,0.011665808886601476,0.013205527882167223,0.9804828305824321
precipitation,autoencoder,gru_ae,0.6511654349061967,0.7866020786767851,0.9957780997871161
precipitation,autoencoder,isolation_forest,0.20289975144987574,0.3306644907744497,0.9867604622072501
precipitation,autoencoder,lof,0.12392666511951729,0.21265357370206905,0.9844155736926627
precipitation,autoencoder,lstm_ae,0.6483541430192963,0.7845153975686702,0.9957368165386198
precipitation,autoencoder,modified_z_score,0.09009639303482588,0.157178124684473,0.9838926525450434
precipitation,autoencoder,z_score,0.043690715722908884,0.07447443926486463,0.9816867509670602
