sensor,method,n_flags,n_runs,median_run_bins,mean_run_bins,max_run_bins,share_isolated,share_in_long_runs
pressure,autoencoder,5917,715,4.0,8.275524475524476,330,0.016562447186074025,0.7730268717255366
pressure,gru_ae,5917,431,7.0,13.728538283062646,230,0.0043941186412033125,0.913976677370289
pressure,isolation_forest,5917,1229,3.0,4.814483319772172,93,0.04529322291701876,0.5482508027716748
pressure,lof,5917,4483,1.0,1.319875083649342,14,0.6077404089910428,0.04022308602332263
pressure,lstm_ae,5917,436,7.0,13.571100917431192,230,0.004732127767449721,0.9060334629034984
pressure,modified_z_score,5920,1920,2.0,3.0833333333333335,16,0.10371621621621621,0.3672297297297297
pressure,z_score,5917,2824,2.0,2.0952549575070822,20,0.2222410005070137,0.12742944059489605
precipitation,autoencoder,7261,1037,2.0,7.0019286403085825,68,0.06982509296240187,0.8118716430243768
precipitation,gru_ae,7261,401,12.0,18.107231920199503,76,0.009502823302575403,0.9531744938713675
precipitation,isolation_forest,7258,1549,4.0,4.685603615235636,29,0.0699917332598512,0.7817580600716451
precipitation,lof,7268,4213,1.0,1.725136482316639,29,0.39859658778205836,0.19634012107870116
precipitation,lstm_ae,7261,388,13.0,18.713917525773194,73,0.00977826745627324,0.95923426525272
precipitation,modified_z_score,6762,3340,1.0,2.024550898203593,16,0.28438331854480925,0.20245489500147884
precipitation,z_score,7263,4935,1.0,1.4717325227963527,49,0.5181054660608564,0.1020239570425444
luminous_intensity,autoencoder,5897,998,3.0,5.908817635270541,39,0.04002034933016788,0.701034424283534
luminous_intensity,gru_ae,5897,689,5.0,8.55878084179971,40,0.018314397151093776,0.8366966254027471
luminous_intensity,isolation_forest,5897,2674,2.0,2.205310396409873,24,0.1741563506867899,0.04612514838053247
luminous_intensity,lof,5897,3542,1.0,1.6648785996612083,31,0.4583686620315415,0.23452603018483975
luminous_intensity,lstm_ae,5897,686,5.0,8.596209912536443,38,0.019840596913684925,0.845345090724097
luminous_intensity,modified_z_score,5897,3904,1.0,1.5105020491803278,12,0.4648126165847041,0.0742750551127692
luminous_intensity,z_score,5897,3907,1.0,1.509342206296391,6,0.4320841105646939,0.005087332541970494
luminous_intensity,z_score_context_hour,5897,2794,1.0,2.1105941302791695,33,0.31999321688994403,0.3691707647956588
