station,pair,peak_lag_steps,peak_lag_minutes,peak_correlation,lag0_correlation
recinto-esparza,pressure-precipitation,-35,-350,0.06131964753938095,-0.004978607427313284
recinto-esparza,pressure-luminous_intensity,-26,-260,-0.341724127837783,-0.010484609982534327
recinto-esparza,precipitation-luminous_intensity,-32,-320,0.09105683290622646,-0.04574376621485035
recinto-santa-cruz,pressure-precipitation,-29,-290,0.00908718322235586,0.008243961035865718
recinto-santa-cruz,pressure-luminous_intensity,-23,-230,-0.057012144445074533,-0.04246417805657493
recinto-santa-cruz,precipitation-luminous_intensity,-31,-310,0.05909607092145736,-0.03187690150482123
sede-atlantico_turrialba,pressure-precipitation,13,130,-0.0447780999471,-0.012549954342916406
sede-atlantico_turrialba,pressure-luminous_intensity,-24,-240,-0.2413616617863818,0.036496465638441264
sede-atlantico_turrialba,precipitation-luminous_intensity,0,0,-0.07064392658672815,-0.07064392658672815
sede-caribe_limon,pressure-precipitation,36,360,-0.03752848717040655,0.01722273511345003
sede-caribe_limon,pressure-luminous_intensity,-25,-250,-0.2826635260044482,0.07349840846428506
sede-caribe_limon,precipitation-luminous_intensity,-1,-10,-0.08172563130819738,-0.08052251580184411
sede-central_finca-1,pressure-precipitation,-36,-360,0.028359490005038356,-0.009469024123742627
sede-central_finca-1,pressure-luminous_intensity,-20,-200,-0.43313328687629465,-0.10299414195279005
sede-central_finca-1,precipitation-luminous_intensity,-15,-150,0.06366718129467486,-0.0249293720470551
sede-central_finca-2,pressure-precipitation,-16,-160,-0.2099521512732331,-0.00735078371207379
sede-central_finca-2,pressure-luminous_intensity,-31,-310,-0.08007621578274636,0.02576804926532444
sede-central_finca-2,precipitation-luminous_intensity,-32,-320,0.09497666581436173,-0.034302729802286124
sede-central_finca-3,pressure-precipitation,7,70,-0.04063999258890403,-0.03141514728421918
sede-central_finca-3,pressure-luminous_intensity,11,110,0.20638972588397342,0.14428873062817232
sede-central_finca-3,precipitation-luminous_intensity,-29,-290,0.09201358321553245,-0.03726318203647132
sede-central_losic-norte-1,pressure-precipitation,-35,-350,0.057469776546907755,0.005922406209243262
sede-central_losic-norte-1,pressure-luminous_intensity,-27,-270,-0.3540429077493468,0.08991799791457131
sede-central_losic-norte-1,precipitation-luminous_intensity,-35,-350,0.07795385199101956,-0.0503451495063857
sede-central_losic-norte-2,pressure-precipitation,3,30,-0.07064218676680883,0.03766115926580123
sede-central_losic-norte-2,pressure-luminous_intensity,-28,-280,-0.11024493800047837,-0.009385687746307143
sede-central_losic-norte-2,precipitation-luminous_intensity,-34,-340,0.06687415937416138,-0.0417318533919571
sede-central_sabanilla,pressure-precipitation,-36,-360,0.0639677963740552,-0.008340523015422924
sede-central_sabanilla,pressure-luminous_intensity,-26,-260,-0.3162848576603177,0.0638148923298502
sede-central_sabanilla,precipitation-luminous_intensity,-30,-300,0.09190115747625334,-0.04949306536755014
sede-guanacaste_liberia,pressure-precipitation,0,0,-0.0024657554507414884,-0.0024657554507414884
sede-guanacaste_liberia,pressure-luminous_intensity,17,170,0.06057115824373483,0.035210898025351024
sede-guanacaste_liberia,precipitation-luminous_intensity,-29,-290,0.005300720633480947,-0.0034101184309896283
sede-sur_golfito,pressure-precipitation,-29,-290,0.02327122428023877,0.004664903344625311
sede-sur_golfito,pressure-luminous_intensity,-29,-290,-0.1196229916438027,0.04583151779607666
sede-sur_golfito,precipitation-luminous_intensity,-36,-360,0.13920692869326584,-0.06375120442461107
