station,group_by,bucket,pair,method,correlation
recinto-esparza,hour,day,pressure-precipitation,spearman,-0.017341998893572557
recinto-esparza,hour,day,pressure-luminous_intensity,pearson,0.07230597971587731
recinto-esparza,hour,day,precipitation-luminous_intensity,spearman,-0.20845569394622257
recinto-esparza,hour,night,pressure-precipitation,spearman,0.10560590913237174
recinto-esparza,hour,night,pressure-luminous_intensity,pearson,-0.034090198287777894
recinto-esparza,hour,night,precipitation-luminous_intensity,spearman,-0.0028298061195276367
recinto-esparza,season,dry,pressure-precipitation,spearman,-0.010902928992459949
recinto-esparza,season,dry,pressure-luminous_intensity,pearson,0.008427996178088966
recinto-esparza,season,dry,precipitation-luminous_intensity,spearman,0.0009437798675119279
recinto-esparza,season,wet,pressure-precipitation,spearman,0.023951865646626463
recinto-esparza,season,wet,pressure-luminous_intensity,pearson,-0.01426432283778241
recinto-esparza,season,wet,precipitation-luminous_intensity,spearman,-0.040913754035156104
recinto-santa-cruz,hour,day,pressure-precipitation,spearman,0.009726756387174138
recinto-santa-cruz,hour,day,pressure-luminous_intensity,pearson,-0.022263166815882335
recinto-santa-cruz,hour,day,precipitation-luminous_intensity,spearman,-0.11204211557961131
recinto-santa-cruz,hour,night,pressure-precipitation,spearman,0.061385927365003874
recinto-santa-cruz,hour,night,pressure-luminous_intensity,pearson,-0.3109128749226845
recinto-santa-cruz,hour,night,precipitation-luminous_intensity,spearman,0.07701155809384912
recinto-santa-cruz,season,dry,pressure-precipitation,spearman,-0.02214934883667406
recinto-santa-cruz,season,dry,pressure-luminous_intensity,pearson,-0.05913278980727889
recinto-santa-cruz,season,dry,precipitation-luminous_intensity,spearman,-0.004908974998171887
recinto-santa-cruz,season,wet,pressure-precipitation,spearman,0.06327914424534219
recinto-santa-cruz,season,wet,pressure-luminous_intensity,pearson,-0.0570464799610843
recinto-santa-cruz,season,wet,precipitation-luminous_intensity,spearman,-0.007600594379644249
sede-atlantico_turrialba,hour,day,pressure-precipitation,spearman,0.016888953451426984
sede-atlantico_turrialba,hour,day,pressure-luminous_intensity,pearson,0.14997373182692786
sede-atlantico_turrialba,hour,day,precipitation-luminous_intensity,spearman,-0.24251148269025066
sede-atlantico_turrialba,hour,night,pressure-precipitation,spearman,0.04475473395492208
sede-atlantico_turrialba,hour,night,pressure-luminous_intensity,pearson,-0.02263834085739877
sede-atlantico_turrialba,hour,night,precipitation-luminous_intensity,spearman,0.022858051692520705
sede-atlantico_turrialba,season,dry,pressure-precipitation,spearman,0.09678351849511414
sede-atlantico_turrialba,season,dry,pressure-luminous_intensity,pearson,0.044406389269504756
sede-atlantico_turrialba,season,dry,precipitation-luminous_intensity,spearman,-0.07251651007726342
sede-atlantico_turrialba,season,wet,pressure-precipitation,spearman,-0.008477627504611372
sede-atlantico_turrialba,season,wet,pressure-luminous_intensity,pearson,0.035587356701545884
sede-atlantico_turrialba,season,wet,precipitation-luminous_intensity,spearman,-0.057766410099597834
sede-central_finca-1,hour,day,pressure-precipitation,spearman,-0.027209295328196156
sede-central_finca-1,hour,day,pressure-luminous_intensity,pearson,-0.07401284527170765
sede-central_finca-1,hour,day,precipitation-luminous_intensity,spearman,-0.11446929503677088
sede-central_finca-1,hour,night,pressure-precipitation,spearman,0.038852940686755606
sede-central_finca-1,hour,night,pressure-luminous_intensity,pearson,-0.003276661712131366
sede-central_finca-1,hour,night,precipitation-luminous_intensity,spearman,0.004626258797990996
sede-central_finca-1,season,dry,pressure-precipitation,spearman,-0.015027743557001877
sede-central_finca-1,season,dry,pressure-luminous_intensity,pearson,-0.11998932688731878
sede-central_finca-1,season,dry,precipitation-luminous_intensity,spearman,0.007014318814783803
sede-central_finca-1,season,wet,pressure-precipitation,spearman,0.022221087693258892
sede-central_finca-1,season,wet,pressure-luminous_intensity,pearson,-0.0809770251830046
sede-central_finca-1,season,wet,precipitation-luminous_intensity,spearman,-0.022709957898098227
sede-central_finca-2,hour,day,pressure-precipitation,spearman,-0.05962302835422201
sede-central_finca-2,hour,day,pressure-luminous_intensity,pearson,0.0763982922550251
sede-central_finca-2,hour,day,precipitation-luminous_intensity,spearman,-0.17797566749711494
sede-central_finca-2,hour,night,pressure-precipitation,spearman,0.049209683352277836
sede-central_finca-2,hour,night,pressure-luminous_intensity,pearson,-0.05171171072359718
sede-central_finca-2,hour,night,precipitation-luminous_intensity,spearman,-0.0394917722778891
sede-central_finca-2,season,dry,pressure-precipitation,spearman,-0.021052567089721863
sede-central_finca-2,season,dry,pressure-luminous_intensity,pearson,-0.006181974863688481
sede-central_finca-2,season,dry,precipitation-luminous_intensity,spearman,0.013927443036443813
sede-central_finca-2,season,wet,pressure-precipitation,spearman,-0.03191608196508185
sede-central_finca-2,season,wet,pressure-luminous_intensity,pearson,0.03212875797011603
sede-central_finca-2,season,wet,precipitation-luminous_intensity,spearman,-0.035828267911306166
sede-central_finca-3,hour,day,pressure-precipitation,spearman,-0.11279992186636989
sede-central_finca-3,hour,day,pressure-luminous_intensity,pearson,0.29809129659511896
sede-central_finca-3,hour,day,precipitation-luminous_intensity,spearman,-0.19776403995539496
sede-central_finca-3,hour,night,pressure-precipitation,spearman,0.036578841870600086
sede-central_finca-3,hour,night,pressure-luminous_intensity,pearson,-0.008626170669522554
sede-central_finca-3,hour,night,precipitation-luminous_intensity,spearman,-0.009887245200698553
sede-central_finca-3,season,dry,pressure-precipitation,spearman,-0.04504197289885194
