station,region,pair,method,correlation
recinto-esparza,recinto-esparza,pressure-precipitation,spearman,0.029825334678407728
recinto-esparza,recinto-esparza,pressure-luminous_intensity,pearson,-0.010484609982495183
recinto-esparza,recinto-esparza,precipitation-luminous_intensity,spearman,-0.028843410033498912
recinto-santa-cruz,recinto-santa-cruz,pressure-precipitation,spearman,0.026667543410205084
recinto-santa-cruz,recinto-santa-cruz,pressure-luminous_intensity,pearson,-0.042464178056574375
recinto-santa-cruz,recinto-santa-cruz,precipitation-luminous_intensity,spearman,0.001313982942334901
sede-atlantico_turrialba,sede-atlantico,pressure-precipitation,spearman,0.029819612690640682
sede-atlantico_turrialba,sede-atlantico,pressure-luminous_intensity,pearson,0.036496465638391824
sede-atlantico_turrialba,sede-atlantico,precipitation-luminous_intensity,spearman,-0.06336503254807771
sede-central_finca-1,sede-central,pressure-precipitation,spearman,-0.0032291510883536573
sede-central_finca-1,sede-central,pressure-luminous_intensity,pearson,-0.10299414195283477
sede-central_finca-1,sede-central,precipitation-luminous_intensity,spearman,-0.009483553061780317
sede-central_finca-2,sede-central,pressure-precipitation,spearman,-0.017978967389700725
sede-central_finca-2,sede-central,pressure-luminous_intensity,pearson,0.025768049265327057
sede-central_finca-2,sede-central,precipitation-luminous_intensity,spearman,-0.0255015886307412
sede-central_finca-3,sede-central,pressure-precipitation,spearman,-0.05040506973250445
sede-central_finca-3,sede-central,pressure-luminous_intensity,pearson,0.1442887306281561
sede-central_finca-3,sede-central,precipitation-luminous_intensity,spearman,-0.026783748768986152
sede-central_losic-norte-1,sede-central,pressure-precipitation,spearman,0.02344890113137459
sede-central_losic-norte-1,sede-central,pressure-luminous_intensity,pearson,0.08991799791454032
sede-central_losic-norte-1,sede-central,precipitation-luminous_intensity,spearman,-0.050963154182963155
sede-central_losic-norte-2,sede-central,pressure-precipitation,spearman,-0.06417442473671017
sede-central_losic-norte-2,sede-central,pressure-luminous_intensity,pearson,-0.009385687746312592
sede-central_losic-norte-2,sede-central,precipitation-luminous_intensity,spearman,-0.007136439149852246
sede-central_sabanilla,sede-central,pressure-precipitation,spearman,0.029076868814598835
sede-central_sabanilla,sede-central,pressure-luminous_intensity,pearson,0.06381489232980037
sede-central_sabanilla,sede-central,precipitation-luminous_intensity,spearman,-0.0318308408159431
sede-guanacaste_liberia,sede-guanacaste,pressure-precipitation,spearman,0.02761397994745115
sede-guanacaste_liberia,sede-guanacaste,pressure-luminous_intensity,pearson,0.03521089802535309
sede-guanacaste_liberia,sede-guanacaste,precipitation-luminous_intensity,spearman,-0.04291698753502166
sede-sur_golfito,sede-sur,pressure-precipitation,spearman,0.04526346514722379
sede-sur_golfito,sede-sur,pressure-luminous_intensity,pearson,0.04583151779606106
sede-sur_golfito,sede-sur,precipitation-luminous_intensity,spearman,-0.07406042772486252
