station,window_start,window_end,decision
recinto-esparza,2024-11-21 15:00:00,2026-08-16 00:00:00,GO
recinto-santa-cruz,2024-12-12 17:00:00,2026-08-16 00:00:00,CONDITIONAL-GO
sede-atlantico_turrialba,2024-10-03 11:40:00,2026-08-16 00:00:00,GO
sede-caribe_limon,2025-11-19 13:10:00,2026-08-16 00:00:00,CONDITIONAL-GO
sede-central_finca-1,2025-11-08 17:40:00,2026-08-16 00:00:00,GO
sede-central_finca-2,2025-04-30 08:30:00,2026-07-21 15:20:00,CONDITIONAL-GO
sede-central_finca-3,2024-12-12 16:10:00,2026-08-16 00:00:00,CONDITIONAL-GO
sede-central_losic-norte-1,2026-04-07 19:10:00,2026-08-16 00:00:00,CONDITIONAL-GO
sede-central_losic-norte-2,2025-10-12 08:00:00,2026-04-04 15:00:00,CONDITIONAL-GO
sede-central_sabanilla,2026-04-29 09:40:00,2026-08-16 00:00:00,CONDITIONAL-GO
sede-guanacaste_liberia,2024-12-12 16:10:00,2026-08-16 00:00:00,CONDITIONAL-GO
sede-sur_golfito,2024-12-12 16:10:00,2026-08-16 00:00:00,CONDITIONAL-GO
